Sentence,Emotion
per em cười mệt quá =)))),1
móng tay gì mà nhìn vừa bẩn vừa ghê,-1
tuổi thơ của tao sợ nhất là con này   không làm gì mà nó cũng rược   suốt ngày thì kêu um sùm,-1
lần sau nhìn thấy hắt nước tiểu vào người nó ngay,-1
bấy bề ơi . thật là đáng yêu,1
tuỳ người tuỳ loại,0
cư ́ như kiê ̉ u =))) ngươ ̀ i yêu,1
thằng ác ôn   con nhỏ nhờ tháo mạng nhện thôi mà cũng không giúp   tao là móc gậy ra thọc .. à nhầm tháo mạng nhện ra liền ..,-1
hồi nhỏ đi học phải ngang qua nhà nuôi ngỗng nó dí chạy thấy bà luôn   ngày nào cũng phải cầm cái cây theo . thề luôn tới giờ tao vẫn còn sợ con này khiếp luôn 😭,-1
ăn cơm mốc có khả năng bị ung thư gan cao . hít,-1
bác này nói hay,1
mới sáng ra,0
tao có một nỗi sợ khác cũng khá giống con yêu tinh này đó là con yêu nghiệt ngan đực :3 con này thành tinh hung ác vãi_chưởng   đi ra vườn đéo làm gì nó   nó cũng rượt mình . đậu ! đó là tao kể ngày bé thôi =) chứ lớn lên tao biết vơ cây củi theo để đi ra vườn rồi =)),-1
cười vãi ???????? mặt con bé cũng hài ghê,1
quán này chắc không đông   đang ăn mà thấy có mà ói,-1
để nó vậy không thấy tội sao,-1
boss dễ thương hết sức,1
nấu thì nấu được mà không biết có ăn được hay không thôi,0
dume tao từ giờ sẽ bỏ thích cái page này huhu   nghiệp mà,-1
đi xe cao mà ý thức thấp quá !,-1
mình đã về đến nhà an toàn hihi,1
lông chân mọc nhanh thế :)),1
quá nguy hiểm .,-1
ơ tao cũng học ông này hướng dẫn hay sao ấy :))))),1
và người đó đang ở nơi đâu về với em đi . đợi người rồi người sẽ đến chứ ?,-1
bảo sao đi đâu ai cũng ghét =)),-1
"đã gọi là "" mật "" mà nó lại công khai cho mày xem àk",-1
hahaa ngọt vãiii :)),1
mơ chứ còn gì nữa 🙃,0
per tìm được đối tượng nào để cầu hôn chưa :))),1
dự là 30 mà 30 sợ già quá chả chó nào nó rước . năm nay đã 26 rồi mà vẫn chả ai thèm yêu 😔😔😔,-1
nhìn em mà thương roi nói chuyện mắt,-1
em vợ tao đấy :)),1
con bé xinh nhờ   khốn nạn là cái thằng edit video ý :))),1
1 lần chơi lớn xem thế giới có trầm trồ ??,1
per phim này thấy trailer hấp dẫn ghê 😁,1
ngồi nhìn nó ngủ cũng thấy dth vler đừng nói cười 😌,1
cái này ghê vãi mày sẽ hiểu cảm giác khi nó lún xuống 😅😅,-1
không thấy tên phim thì hỏi . ở đấy mà hội người mụ cái đéo gì . đã mất công ghi tên phim thì ghi cho đàng hoàng vào . bất lịch sự vậy !,-1
hèn dì mấy nay đi học thấy bạn của crush nhìn mình cười,1
wow vừa vẽ đẹp lại còn biết sáng tạo :)),1
cái này đi móc cống thốn lắm nè,0
từ nay tôi quết định nuôi dưỡng con chim tôi tới già . và tôi mong được unesco công nhận kỳ quan thứ 8 của thế giới,1
mình chỉ quan tâm cái quần bạn chồng mặc màu hường hình cô gái ????,0
loại gái già mất dạy chách sao không dạy được con cháu .,-1
chộm chó đâu làm ăn như céc lúc cần thì chả thấy đâu,-1
thông minh hơi muộn nhưng vẫn kịp thông minh !,1
cay đắng và mặn :(,-1
cóc nào tao không có thích thầm đứa nào để đứng lại ngắm cái chỗ ngồi nhể 😗😗😗,1
nó sale còn 225k là được rồi :))) lời quá còn gì . mẹ mày per bình luận chi để nó nhận ra chi v 😂,-1
loại này nó vậy   y con chó nhà mình .. hjjjj,-1
đỉnh vậy luôn hả,1
chẳng những hư xe mà còn bị phạt nặng nữa,-1
mẹ còn không trị được thì ai trị 😌,0
tớ có thấy con ngáo đấy nhưng không dám lại sờ huhu tt,-1
nhờ đó mà tôi cảm thấy nhẹ nhõm và trở nên mạnh mẽ,1
tao ấn tượng anh đầm hường ghê 😂,1
đứa nào bắt cóc nhỏ này thấy khổ vãi,0
đồng cảnh ngộ :(,-1
ngọt hơn cả người yêu haaaaa,1
thôi mấy bác bị dắt mũi rồi . nghe đến đoạn au mobile là biết nó quảng cáo game trá hình rồi . như con cặc,-1
đọc nhiều chuyện cổ tích vầy thấy yêu cuộc sống hẳn :)),1
bố mày lậy chúng mày đấy,-1
mấy cái video của bọn này đóng hay vãi,1
ở nói chuyện ngoài hộ không khì thị về giới tính   họ cho được kết hôn . chứ họ không kì thị như ở việt nam mình hai người kia họ thật dũng cảm khi sống thật với giới tính của mình,1
bà chủ tịch giả mang thai và cái kết,0
phạt 5 triệu ... pháp luật vn hay dữ,-1
phải chi có người để giận mình nhỉ :(((,-1
per cần thêm những trái dâu xinh xắn để ngăn chặn sự u ám này   huhu,-1
lúc nhỏ bà hàng xóm của tao bị dí chạy tới mức bã phải nhảy xuống sông bã lội trốn mà tụi nó cũng nhảy theo với bã 🤣,1
tao cũng có ghệ và tao cũng dị ứng mấy trường hợp mắc mệt giống vậy,-1
khổ thân em ý .,-1
không những hạnh phúc tao còn cứng nữa :)),1
chỉ có bọn nông dân mới nghĩ ra mấy trò này   phải con cháu nhà tao thì tao đến từng nhà 1 bắt từng thằng ăn cứt,-1
kinh dị vãi 😖😖,-1
phải là người yêu tao thì sống chết tao cũng vả hết,-1
vậy nên phải lịch sự và thổ con mẹ nó lộ với cả đống người chúc mừng mày thành trò cười thiên hạ,-1
đkm lại diễn rồi pr cho game aumobile chứ gì tuổi lol qua mắt tao =)),1
cà phê vần luôn cả với sa tế   thế là đủ vị đắng cay,0
chuẩn luôn :3 độc vô tình bắt gặp thôi cơ mà giờ tao bị ăn bơ rồi 😭,-1
có ai luyện mới được như mình không dạ,1
còn thằng súc sinh này,-1
lớp 1 tao đã bị nằm sấp lên bàn   bị đánh 20 - 30 cây vì tội viết chữ không có tiến bộ mà có dám hó hé gì đâu . còn học sinh giờ sắp thành hiệu trưởng hết rồi,-1
hết hồn chim én,-1
thật ư 😱😱😱,1
cô ấy không yêu tôi,-1
ừ công nhận == không có tiền mua,-1
xã hội giờ nguy hiểm quá . có khi cái con mẹ kia mới là người có ý định bắt cóc trẻ con ấy chứ   hoặc chỉ một câu trêu đùa quái ác như thế cũng đủ mệt,-1
nó ăn chay mà,0
trò cười . :v,1
đáng yêu vậy,1
người ta dùng con kiến bống . loại có chất axit có vị chua . chứ đéo ai dùng loại kiến đen cứt trâu này .,-1
gặp tao là đéo nói nhìu   lùi xe ra rồ ga tông thẳng vào :)))),-1
phải chi quán đầu tư cái máy hút bụi thì đỡ cho anh ấy quá =))),0
cũng dể thương đấy chứ,1
thực ra ngoài mày nó còn quan tâm nhiều đứa nữa,0
anh quay phim giọng hơi cute nhỉ 😂😂😂,1
cảm ơn bố !,1
nhìn đã thật,1
niềm vui của cđv việt nam đây mà,1
tao thích vẽ . nhưng vẽ xấu từ đó chuyển hẳn sang mê chụp ảnh .,1
tạm biệt ông 😢,-1
khoảnh khắc nhận ra đồng nghiệp mình is the best :)) nguyễn ngọc thái hiền,1
tao cười tao ỉa =)))))) hâhhahhahahahaha,1
nên là có sắp chết tao cũng đéo kể cho ai nghe :))),0
tiền nhiều để làm gì ? để rồi lại chia ly,-1
và nếu có 1 người yêu mà chơi với nhiều thằng con trai thì hãy cẩn thận   mày có thể bị cắm sừng khi nào không hay,0
thường thôi . hồi nhỏ tao nấu kiểu này hoài . nấu lun cái bếp nhà chú,1
xỉu lên xỉu xuống :(,-1
để anh dẫn em đi ăn nha :)),1
tao đã khóc khi xem phim nay,-1
cây như cổ chân thì sao năng xuất . cại đủ tiền công không mà chia,0
per một thời của chậy em mình nè,0
thiệt là dễ thương quá đi mất . 💕,1
nhảy không lo nhảy còn quay quay,-1
giòi béo lắm :)),1
á đù   per ạ   chị em mềnh vừa làm thế,1
per trung thu đéo liên quan đến việc có gấu cho lắm bạn nhể .... nhưng mà lễ gì cũng thế thì đúng là bất hạnh mà huhu,-1
per cản tao không tao chửi thề,-1
quả drama khi nàng say giấc là minh chứng rõ ràng nhất cho ví dụ trên =))),0
tao hiểu rất rõ cảm giác của em ấy ....,-1
tình đến   rồi tình cũng điii 🙂🙂🙂,-1
gớm không tưởng,-1
phục nhất ông cưa móng tay mà không cần đeo bao tay và đeo khẩu trang   gặp tao là tao ói ngay từ khi thấy bộ móng này rồi .,-1
cảnh này gặp cũng nhiều rồi . dọn thấy mẹ luôn mà vẫn không sạch được . tức ghê . ức chế lắm . 1 lần thì không sao mà cả chục lần như vậy,-1
vô nhân đạo thật :(,-1
ngày em đến anh mất ngủ suốt mấy đêm vì vui sướng   ngày em nói dừng lại nước mắt anh rơi trên đường chạy về nhà,-1
có gì đâu bé vậy mới cool đó anh thích 😉😉😉,1
tuổi thơ không có gì đặc biệt cho đến khi năm lớp 12 . nhớ cả cuộc đời cậu bạn ngồi cạnh,0
tính giải trí cao vãi 🤣🤣,1
cơm từ thiện không tốn tiền nên không biết quí trọng ý thức còn thấp quá,-1
cảm ơn cha mẹ đã cho mình hình hài này   xin được khôn ngoan để đừng làm đau người khác,1
hóa ra là vậy à =)),1
tao cũng nghĩ là vậy   chứ ở đó mà mừng rồi nuôi đẻ . bố mày không thích ăn sừng   phắng 🤣,-1
có quá nhiều lựa chọn trong một tháng,0
nguyễn thị hồng phấn cũng may tao không thấy cặp nao hêtd,-1
nói thẳng mẹ nó là con kia gato cho xem :))),0
đi qua hết rồi mới nhận ra cấp 3 là thời tươi đẹp nhất của mình . ở đó có bố mẹ luôn đồng hành   có tình yêu học trò   có nghịch ngợm trốn học ... là quãng thời gian hồn nhiên vui vẻ nhất .,1
bếp củi 😂😂😂,1
:(( tội bé,-1
ăn cho mập thây để chết phải đặt hòm riêng chứ bắt trộm hay cướp thì làm được gì .,-1
đéo biết ong rừng thật không nhưng đổ mà bắt em dọn thế à   xách mông xuống dọn đi .,-1
tuổi trẻ tài cao mà :)))))))),1
quay lip miệng chửi liên tục còn đăng mạng cho mọi người biết ... hài .,-1
sg chưa mưa đâu,0
per cho vợ đi cầu này để giảm cân nhá 🤣🤣,1
tôi đoán rằng ông này đã lấy vợ trước khi lên mặt trăng,0
chả hiểu sao có phẫn nộ :))),-1
nhìn cảnh 2 bố con hôn từ biệt   em bé cũng rướn mặt theo hôn bố mà chảy nước mắt   em bé như thế chắc không biết diễn   đúng là cảnh đẹp quá,-1
per học hỏi nhé kkk,0
cái đoạn nướng cháy pizza để phốt công nhận là chuyên nghiệp thật :),1
mỗi lần chạy xe ngang kv bình chánh là cảm thấy sợ,-1
"ở trên mái sảnh nhà tao cũng có một con nhện mẹ tao bảo tao giết nó ( hờ hờ )   còn bố tao bảo "" mày cứ đi qua là nó rơi giữa đầu """,-1
2 năm xa nhà rồi tao đéo được đi ????. năm sau nhất định đi,0
có những ngày làm tới đâu là sai tới đó :)) muốn tát vào mặt hết sức,-1
per nhớ ngày tháng cta bên nhau ghê   giờ thì chả còn gì,-1
thành phần nào cũng có :)) ăn hiếp con gái :)) thua cả súc sinh,-1
lò vi sóng đó hjhj,1
đàn bà ở nhà thế kia không sợ ngoại tình à ? tao đang lo vợ tao đây này,-1
không nỡ bỏ đi mấy thứ linh tinh thời đi học,0
chưa cho ba mẹ được gì . vậy có quyền gì mà đòi phàn nàn về những thứ ba mẹ đã rành rụng bao nhiêu năm để lại cho mình,-1
per đợt này tao đi học full . nên để mấy hnua rảnh tao alo nha 😂😂,0
từ nhỏ tới lớn đi học toàn ngồi chung bàn với nam   toàn phải đương đầu chiến đấu với vạch phấn chia đôi bàn ghế . 🤣🤣,1
mày là con bé gái bố mày là con lợn nhé . khi con nào còn mở mồm bảo chỉ theo bạn bỏ zai thì bị ăn vả thế đấy =))),-1
cái thứ súc vật,-1
đúng rồi   vàng là phải vàng mới có giá trị   vàng trắng làm gì có giá trị 😥,-1
thế mới làm nên nghiệp lớn chứ,1
ảo tưởng là đây 😞,-1
đúng bài của người việt thường dùng rồi,0
họ đã cho ta có mặt ở trên cột đời này rồi còn gì bằng nữa chứ,1
cả tết được có 400k :(,-1
bắt được rồi cho bọn này đi chết đi để chúng nó sốn rồi làm hại người khác,-1
rất tiếc cho 1 bài quyền,-1
wao đáng yêuc vậy chời ơiiii,1
có đéo gì mà kì thích thì đi . xin lỗi hơi thô 😊,-1
đề kháng của tao với mọi loại thính rồi cơ 😂,1
ý anh là đụ em xong có con rồi ct á hả :vậy,-1
vậy là xử xong rồi đó hả ? nhanh dữ,1
tao cũng muốn học vẽ lắm :( cơ mà không có điều kiện để đi học,-1
má nhay :)),-1
hiền thì hiền thật đấy cơ mà quá ngưỡng nhịn thì bùng phát thôi 🙂,0
bất hạnh qué gì . trung thu thì liên quan mẹ gì đến việc có gấu . tào lao,-1
sao lại ga lăng z được ta,1
per chịu khó đọc trong này cũng được phết,0
đây là một câu chuyện buồn 🙁,-1
bọn tàu copy kịch bản phương tây   chắc bữa sau lại có mấy video make in việt nam như vậy và kịch bản tàu haha,1
giờ nghĩ lại mới thấy vui thế   đến nay bạn bè lập gia đình cả rồi :(((,-1
có thể trường học không trọng dụng bác ý nên bác ý không muốn về   ý kiến riêng em,0
chuyên mục chọc chó cực mạnh à nhầm mèo kk,1
giọng mình thì như tát vào mặt người nghe,-1
per tạo hóa thật đáng sợ :))))),-1
hôm nay bạn đi làm . tiền đâu mà mua 😌,-1
không được uống đã đành   ngồi dọn sấp mặt luôn   như con cáo và chùm nho xanh per,-1
sai còn không biết sửa còn thích giận lại . cút hộ,-1
đau lòng vãi . cứ tưởng là đùa . ai ngờ   bồ nhau thiệt . ơ . tớ có sừng không,-1
vừa thấy thương vừa buồn cười vãi :))))))),1
sở khanh như boss chịu liền .. đẹp trai quá trời ui,1
chính những người như thế họ rất cẩn trọng khi bật xi nhan đấy,-1
video này là để động viên mấy đứa chán đời và cuộc sống này rất nhạt ahihi,-1
chiều mưa hứa tự sẽ tự đi mua đôi giầy mới 😂,1
cái khó ló cái khôn   yên tâm,0
à thì ra là vậy,1
ng anh em thiện lành đã rời việt nam . sayy goodbye 🌸,0
cần lắm những sẻ chia . cần lắm những thấu hiểu,-1
người ta chỉ hỏi hàng tháng bạn kiếm được bao nhiêu tiền chứ không hỏi công việc của bạn có làm cho bạn mệt nhiều không,0
khi em nói 2 chữ muốn dừng là nước mắt không bao giờ ngưng . . . đau,-1
ngưỡng mộ anh chị,1
t còn được nghỉ 1 tuần :)))),1
t cười đấy . thế tao thả haha nhé . mà dume đấy là cháu tao . thế bây giờ không có icon vừa khóc vừa cười à :]],1
lúc trước tao đi thực tập cũng có làm bên dọn phòng được 1 tháng . đm kinh khủng lắm tụi bay   rác xả thì đéo nói nha   bcs vứt ngay trên giường :) dume sao chơi xong đéo nhét vào mồm ăn mẹ đi cho rồi,-1
tao coi xong tao khóc .,-1
thà chia tay rồi ghét hận nhau còn hơn là đang lúc dang dở thì mất nhau 🙂,-1
xem mà rơi nói chuyện mắt khi ăn luôn 😭😭😢,-1
đồng nai mùa chim nướng yên xe kaka,1
con nhà người ta kbh làm bố mẹ mình thất vọng 😪,0
ờ công nhận đáng sợ vãi 😭,-1
khiếp quá đi tụi con ơi,-1
có ai thấy tội ông cụ như tao không 😭,-1
tao thề từ giờ đến cuối năm mà tao không lấy được vợ thì tao quyết định sag năm lấy 😊,1
per chị mày đánh lộn từ đầu làng đến cuối xóm thì cần chi bọn con trai   nhưng nhìn bọn nó dễ thương hén,1
có thể cấp phép những phim bạo lực . kinh dị nước ngoài . nhưng động phim nhà có chút bạo lực và máu me là cấm vì không đúng thuần phong mỹ tục,-1
hãm lol thật sự 😒,-1
giống y bố tao 🤣 ngoa khủng khiếp nhưng mà nhà tao vui vãi_chưởng 🤣🤣. điểm danh nhà bố học giỏi văn nào 🤦🏻‍♀️,1
anh nói vậy với em lần nửa đi 🙃,0
không hiểu sao xem đi xem lại bao nhiêu lần vẫn khóc được,-1
ad hỏi thế này thì có khác gì giữa thịt lợn và thịt chó ăn món nào ? ad hỏi thế này là hơi coi thường chị em đó 🤨,-1
cục súc thiệt :)))),-1
đợi chắc sang kiếp sau luôn quá 😂,0
lấy ống hút mỗi đứa cắm xuống mà hút thôi :)),1
có ý định nhai hết hộp kẹo điểm danh đi 😌😌,0
nam thần tự do,0
chúng ta mất 3s để nói yêu nhau vài 30p để phịch nhau phải không nào,1
ông thầy cục súc vãi lol,-1
vâng em gặp anh rồi mà giờ đây em vẫn cô đơn đi lang thang tìm những thứ vô nghĩa lấp vào nỗi cô đơn ấy,-1
câu chuyện y ́ nghi ̃ anh qua ́,1
ngày xưa mìh cũng thế . dume thấy mấy ông đứng đầu đường nhòm nhòm cũng phải lượn qua cái :)),1
đúng là vàng trắng .. nhưng mà trắng tay :(((,-1
m ngon m giết tao luôn đi   má mày,-1
lâu quá rồi mới nghe lại bài này . từ lúc ctay mối tình đầu :((,-1
khổ tâm ghê =)),-1
những điều đơn giản nhưng thật hạnh phúc 😘,1
cũng muốn đi xem lắm 😭,-1
kết hôn xong   anh thuê người giết cô để lấy tiền bảo hiểm 😌,0
gia đình ổn tình yêu không có thì cần gì động lực ... kaka,1
anh tây này đáng yêu chết được cứ tiếng tuy hoà phú yên ma học đi nhá ☺️☺️,1
con mèo cục xúc nhất năm :3,-1
xem phim cười gần chết . mà thích cái bạn ma nữ hơn là na bong,1
đằng này họ nghĩ tao muốn giết người rồi chửi tao bị thần kinh rồi cho trôi qua mọi chuyện,-1
chờ mãi đéo thấy làm gì chán,-1
ngồi cười như dại =))),1
chó đẻ   khốn nạn vậy mà cũng đi rao giảng đạo đức   đi dạy người khác 😭😭😭😭,-1
đm nhậu say gặp cái cầu lol này chắc tao nằm xuống mẹ cho rồi per,-1
nắng nóng bỏ moẹ   dội chút cho mát thôi mà,0
phải biết thiên thời địa lợi nhân hòa 😐😐,0
per mẹ copy đây làm bố tưởng nay mày hiểu đời văn chương hơn,-1
thân thiện thôi mà cứ ảo tưởng được thích à ? :>>,-1
bọn chưa tiến hoá hết này ... cặn bã,-1
per mày này . nhưng mà lúc già sắp chết 😕,-1
vl :)) còn đút tay túi áo ??,1
thôi không níu giữ kí ức xa vời   và chẳng bao giờ thuộc về nơi em,-1
chúng mày bị điên à 😒,-1
có người cả đời ăn không hết lại có người thiếu ăn   thiếu mặc nhìn chán đời vãi,-1
đố ai định nghĩa được tình yêu . có khó gì đâu một buổi chiều . kề dao vào cổ yêu không hả . gật đầu lia lịa thế là yêu 🤣🤣🤣🤣🤣🤣,1
page bị hack rồi . video hay nhất mình từg xem,1
mưa rồi   chỗ tao đang mưa,0
per mày cũng có tình yêu từ nơi đây phải không ?,0
nhìn kinh 😌,-1
nhìn lại nhớ một thời oanh liệt nay còn đâu 😴 đề bao năm vẫn như vậy . vẫn thích nhất là câu 4 hình học 😊,1
mà hiệu quả bất ngờ quá   quá đỉnh .,1
ủa rồi ra nắm xe tải kéo ra như kéo xe đồ chơi dị ba,0
từ bé đến giờ mình chưa bao giờ xếp được 1 cái rubic nào thế mà cu nhóc kia xếp xong trong vài giây ! xấu hổ quá,-1
quá kinh ngạc phá được mọi loại khóa luôn 😑😑😑,1
phòng gym nơi những thằng gay yêu nhau và thông đít nhau :v,-1
mười mấy năm nữa tao cũng sẽ đạt kỉ lục thôi 😂😂😂,1
anh thích em rồi đấy 😂,1
thay đổi cái đau đầu luôn,0
cũng chả biết tại sao luôn ...,0
có cả chiêu của per trong đấu trường thú nè :))),1
đi chơi mẹ tao cũng không tha cho tao :) chửi tao làm mất buổi vui luôn á,-1
nhớ lúc trước tao cũng có học quyền và múa tứ linh đao bay thẳng vào trán . :),-1
per đúng là hồi tđ vẫn một rổ cười mỗi ngày ha =)))),1
số tiền ấy làm phước cho bao nhiêu người . đúng la dư thừa,-1
có đồng nghiệp đáng yêuc thì sếp có khó tánh mình vẫn cảm thấy vui rất nhiều . nhớ những ngày tháng đéo thèm tăng ca đi ăn bất chấp,1
thế thì nó lại tốt quá,1
má tao coi mà chóng mặt ... cầu này rồi dành cho chân ngắn như tao chắc,0
mặt dày lại ôm cứng ngắt cho chị . 😆,1
per bếp lò xo huyền thoại của ngoại hay nấu nè,1
muốn được đi một lần 😆😆😆,1
bo ̣ n na ̀ y cho đi tu ̀ hê ́ tao,-1
thì ra nó là như này à,1
đang họp nhớ gì không nhớ nhớ cái bếp,0
hay cực,1
dume tao vừa mất 2 phút nhãm nhất cuộc đời tao 😒😒😒,-1
per hãy gặp nhau nói bằng mồm từ tỏ tình đến chia tay để không bị cap gửi cho hội chị em =)))))))),-1
có sáng tạo :)),1
khi bạn sai mà không muốn đền thì cách tốt nhất nên dọa đối thủ thật mạnh vào @@,0
tao thì đéo phân biệt đâu là gà đâu là vịt   đâu là nhãn đâu là vải . ????????,0
mắt 2 mí dễ thương quá,1
s mà nằm viện mà chị đẹp quá vậy,1
huhu đéo muốn đi học đâu,-1
thực ra chủ nó cũng bẩn vãi :) vầy quá kinh dị rồi :),-1
hiểu lầm chút chút,0
lại thanh niên quay phim khúc cuối ra hỏi chị ơi chị có sao không,0
hay à ngheng,1
ngày ấy chỉ vì quá ngu ngơ mà để lạc mất .,-1
giỏi mà 😁  đúng là thằng tây duy nhất ở vn học tiếng việt mà giọng tuy hoà ( giỏi )🤩,1
t thua cả đứa con nít nữa ám ảnh vãi,-1
eo hiểu người ta đỗ lòng đường vỉa hè thì rộng . chỉ lên nhắc người ta đỗ lùi xuống không ngã 3 thôi chứ đường của các bà đâu . có thế cũng đưa lên . ko ai bênh cái này đâu . ích kỉ nó vừa thôi,-1
per bảo này mày không được đi chơi đêm nhé,0
chủ như này lại chăm làm vãi =)),1
ngày đéo nào cũng đòi người yêu   sinh nhật bác hồ hay quốc khánh cũng đéo thấy tha 😕,-1
móe . con nhện . cười đau cả ruột .,1
coi mà hồi hộp vãi 😂😂😂... nghỉ tới khúc nó nhảy trượt rớt xún chắc bó chửi banh nóc ... v,1
trai đẹp nó yêu nhâu hết rồi các chế ơi ... tranh thủ quơ được thằng nào quơ đi không thì hết đó kkkk,1
dễ thương hết sức ??,1
ô ông này vẫn còn làm video à :v,1
bố mẹ cho ta đx tồn tại trên cuộc đời này biết nhận thức thì tự đi lên từ đôi tay của mình nhé 😘,1
anh chơi ác quá,-1
phần còn lại là nỗi nhớ và những lần thở dài :((,-1
chắc tao đấm chết mẹ nó quá 😠😠,-1
per mình đi xem phim này nha em ơi,1
từ ngày ra trường là chưa về,0
mọe   chúng mày có thôi đi không ? :),-1
bố khỉ chó chứ kphai người -.-,-1
1 lũ hèn bỏ mẹ mấy đứa nó cũng thế,-1
per thay vì đọc chuyện ma thì mày có thể coi hết video này :)),0
cay vãi lồn,-1
per wow 😂 cảnh bắt nhện kịch tính vãi,1
per đáng sợ quá,-1
per lắp đi   chứ tốn tiền điện thoại lắm,0
viện nào nhìn đẹp thế,1
định share cho mấy bạn trong list fr thêm động lực mà đọc bình luận xong đến tao còn thấy tụt mood 😌,-1
làm nghề không có tâm 🙂,-1
xong vài tháng sau thằng bạn chung lớp chửi mình chảnh   bố đời .,-1
việt nam học tây chỗ này đây trách gì giờ toàn cô trò rủ nhau vào nhà nghỉ,-1
giọng nghe hay quá,1
có tiền mua cả cây nhỉ,1
những người nhập cho các chau ăn thịt bẩn đó họ có còn là con người nũa không ? vì tiền mà họ để lương tao bị cho cắm mất rồi . lũ khốn nạn,-1
trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .,-1
nghe lại mà nhớ những ngày tháng say đắm trong nỗi cô đơn,-1
đáng yêu thế bà đẹp gê,1
nhìn đẹp quá đi mất,1
nhói lòng lớp tôi,-1
khổ thân em nó . ??,-1
sau khi kết hôn   anh sẽ thuê người giết cô để hưởng trọn tiền bảo hiểm 😌,-1
giá mà thằng lái xe ngồi trong xe oto trông xe thì tốt biết mấy !,0
dẻo phết ... nhưng mà cái gì dẻo quá cũng không tốt ...😄,0
năm nào bố tao cũng đi   năm nào cũng về kể là đông quá cả tiếng mới nhích được 10m mà năm sau vẫn cứ đúng ngày bố tao lại đi vậy đó =)),1
per câu chuyện này thú vị nhỉ ?,1
nó dựng lên nó quay đấy   nghe giọng thằng quay như giọng 2 con bede hôm bữa đánh nhau ở quán nước,-1
cưng hết phần thiên hạ,1
cười vui vãi,1
có mà ngược lại ... thời thế thay đổi rồi,0
tài sản thời bao cấp ...,0
tưởng tượng như vừa lắp não thì lại rớt ... đại loại như vậy đó 🤣🤣🤣,0
hay lắm chàng trai trẻ,1
nhưng những người làm trong các ngành này không mấy ai có nhiều nhà to và nhiều đất đai,0
ăn gì khôn thế,1
tiên sư bố mày vỡ màn hình tao rồu,-1
áo xinh thế .. cho tớ mượn đi tiệc nhé !,1
per hả dạ ghê mày !,1
mày làm tao buồn đó per ??,-1
ai cho xin bài nhạc helo đi :)),0
giá như nơi nào cũng có 1 đội như vậy thì những người đi khuya xe hư đỡ khổ biết bao . thật là hành động đáng chia sẻ,1
chuẩn bị kiểm tra hình huhu :((,-1
em vẫn nhớ cái bếp này kkk,1
bọn này phải cho nó thưởng thức dống như nó đã làm với cây bao nhiêu cây thì bấy nhiêu mũi,-1
7 năm rồi . nhanh quá,1
rụng tim 😭,-1
admin đăng mà không nghi nguồn ở đâu ra đúng là ăn cắp bản quyền,-1
nhìn là biết cái quả này fa lâu lắm rồi này   cũng may chưa đóng 🕸🕸🕸😂,-1
chưa chi đã để thua từ hình ảnh này . thua,-1
một cái vẫy tay đầy luyến tiếc từ cuộc họp tới đất nước việt nam,-1
cũng đừng nghĩ là những người ân cần nhẹ nhàng với mày là tốt . xã hội bây giờ không tin bố con thằng nào được,0
mỉa mai cực mạnh =)),1
chưa bao giờ bắn trúng 😬,-1
trừ chết ra thì mọi chuyện đều có thể giải quyết 💪,0
�� thanh xuân của em đã từng có khoảng time tươi đẹp,1
đánh bố mày như này xem   bố túm được 1 con bố xiên chết cụ mày,-1
mai tao cũng đi ship mới được . có bài này áp dụng luôn .,1
vũ khí sinh học này mạnh thật !,1
chồng biết không   hihi,1
per vợ thích bếp ga mini hay loại bếp ga đôi nào 😂😂😂😂,0
giả sử mà bị thằng nào bỏ túi cả lọ nó có chửi không nhỉ,0
mỗi lần mẹ tao sai tao nhóm lửa   chắc tao nhóm hết 40 tờ giấy   và 1 tiếng sau mớii có lửa 😌,0
giờ mới biết =)),1
per hôm nay tới lượt đứa nào nấu cơm,0
dm kiện cho đi tù chết mẹ đi,-1
mặt con ngáo còn hiền hơn con đứng trên cây cột,-1
chả bù cho con ml này . đợi mãi không thấy nó về . hy vọng em không bị bọn xấu bắt lên dĩa là tốt rồi :(,-1
ng ta cuối cùng thì cũng được còn tôi thì never 😞,-1
dễ thương vãi =))),1
cô chủ nhiệm óc chó quá,-1
mấy thằng vô học,-1
chuột nhìn thấy mèo sợ là đúng rồi =)),1
hè về chỉ thích ăn cái này .,1
per trời đựu cầu hôn nó phải thế . đã đẹp trai còn có não,1
qua câu chuyện vừa bịa ra tôi hi vọng các bạn sẽ có cái nhìn thoáng hơn về csgt việt nam 😂😂,1
chúng mày ngồi canh đó cho tao . có con muỗi nào hó hé là ăn liền ??,0
thứ yêu nghiệt   nhỏ g vẫn sợ nó nhất sau mấy con lắm chân t . t,-1
quá ý nghĩa . mình trẻ mà chắc gì làm được vậy,-1
thôi   bớt bớt đi không có ngày lại thiệt thân   nguyên 1 cái vỉa hè rộng thênh thang còn lắm chuyện   lúc nó đánh cho lại bảo bạo lực với nữ,-1
trời ơi . dễ thương quá luôn ❤️❤️,1
cho hỏi cây cầu này ở đâu vậy ... ai biết chỉ dùm tôi cảm ơn ! 😂,0
đcm ngôn tình vãiiii,1
rồi đất nước mình sẽ đi về đâu .:'(,-1
